title,category,code,name,lecturer,grade,class,season,time
2025年度,理工学部,R0051014,線形代数学Ⅱb,中大窪　千晶,1年,専門科目(C3),後期,金３
2025年度,理工学部,R0051014,線形代数学Ⅱb,小島　昌一,1年,専門科目(C4),後期,金３
2025年度,理工学部,R0051021,物理演習,武富　紳也　他,1年,専門科目(A1),後期,火２
2025年度,理工学部,R0051021,物理演習,河野　宏明（工）,1年,専門科目(B1),後期,火２
2025年度,理工学部,R0051021,物理演習,日野　剛徳,1年,専門科目(C1),後期,木３
2025年度,理工学部,R0051021,物理演習,大石　敏之,1年,専門科目(C2),後期,木３
2025年度,理工学部,R0051021,物理演習,有馬　博史,1年,専門科目(C3),後期,木３
2025年度,理工学部,R0051021,物理演習,ナルモン,1年,専門科目(C4),後期,木３
2025年度,理工学部,R0051022,化学演習,藤澤　知績　他,1年,専門科目(A1),後期,木３
2025年度,理工学部,R0051022,化学演習,森貞　真太郎　他,1年,専門科目(B1),後期,木３
2025年度,理工学部,R0051022,化学演習,梅木　辰也　他,1年,専門科目(C1),後期,火２
2025年度,理工学部,R0051022,化学演習,川喜田　英孝　他,1年,専門科目(C2),後期,火２
2025年度,理工学部,R0051022,化学演習,米田　宏　他,1年,専門科目(C3),後期,火２
2025年度,理工学部,R0051031,コンピュータプログラミング,松前　　進,1年,専門科目(A1),後期,月４
2025年度,理工学部,R0051031,コンピュータプログラミング,西山　英輔,1年,専門科目(B1),後期,月４
2025年度,理工学部,R0051031,コンピュータプログラミング,堂薗　浩,1年,専門科目(C1),後期,火４
2025年度,理工学部,R0051031,コンピュータプログラミング,房安　貴弘,1年,専門科目(C2),後期,火４
2025年度,理工学部,R0051031,コンピュータプログラミング,宮良　明男,1年,専門科目(C3),後期,火４
2025年度,理工学部,R0051031,コンピュータプログラミング,中大窪　千晶,1年,専門科目(C4),後期,火４
2025年度,理工学部,R0051032,データサイエンスⅡ,廣友　雅徳,1年,専門科目(A1),後期,火４
2025年度,理工学部,R0051032,データサイエンスⅡ,小島　昌一,1年,専門科目(B1),後期,火４
2025年度,理工学部,R0051032,データサイエンスⅡ,寺本　顕武,1年,専門科目(C1),後期,月４
2025年度,理工学部,R0051032,データサイエンスⅡ,日野　剛徳,1年,専門科目(C2),後期,月４
2025年度,理工学部,R0051032,データサイエンスⅡ,杉　剛直,1年,専門科目(C3),後期,月４
2025年度,理工学部,R0051032,データサイエンスⅡ,伊藤　秀昭,1年,専門科目(C4),後期,月４
